the_geom,OBJECTID,date no time,Month-num,Month,Helper,Year,Rainfall in mm,date_,country,nearest_pl,hazard_typ,landslide_,trigger,fatalities,injuries,location_a,landslide1,near,distance,State,,population,latitude,longitude
POINT (79.08530000000016 30.534500000000065),96,10/16/2013,10,Oct,Uttarakhand 2013,2013,29.1,10/16/2013 07:00:00 AM +0000,India,"National Highway 109, Uttarakhand",landslide,Landslide,Unknown,0,0,Known_within_15_km,Medium,Rudraprayag,29.37158,Uttarakhand,,874587,16.5175,80.6117
POINT (79.08530000000016 30.534500000000065),97,10/18/2013,10,Oct,Uttarakhand 2013,2013,29.1,10/18/2013 07:00:00 AM +0000,India,"National Highway 109, Uttarakhand",landslide,Landslide,Rain,0,0,Known_within_15_km,Medium,Rudraprayag,29.37158,Uttarakhand,,1147,27.1499,88.38
POINT (78.09760000000014 31.516800000000078),98,6/15/2013,6,Jun,Himachal Pradesh 2013,2013,233.6,06/15/2013 07:00:00 AM +0000,India,"Tapri Near Rekong Peo, Kinnaur District",landslide,Landslide,Downpour,0,0,Known_within_1_km,Medium,Sarahan,28.85336,Himachal Pradesh,,13058,30.0702,78.3027
POINT (94.60240000000015 25.42600000000007),100,10/13/2013,10,Oct,Manipur 2013,2013,125.6,10/13/2013 07:00:00 AM +0000,India,"Tusom, Manipur",landslide,Mudslide,Downpour,0,0,Known_within_5_km,Medium,Phek,28.57853,Manipur,,217780,19.2179,73.1694
POINT (78.66950000000016 30.88500000000008),109,6/16/2013,6,Jun,Uttarakhand 2013,2013,488.9,06/16/2013 07:00:00 AM +0000,India,"Dharasu-Gangotri Road, Uttarakhand",landslide,Landslide,Rain,0,0,Known_within_50_km,Medium,Uttarkashi,27.63875,Uttarakhand,,20000,19.0997,72.8974
POINT (78.63000000000012 31.893100000000093),116,7/27/2013,7,Jul,Himachal Pradesh 2013,2013,208.8,07/27/2013 07:00:00 AM +0000,India,"Malling, Himachal Pradesh",landslide,Landslide,Mining_digging,0,0,Known_within_10_km,Medium,Diyag,26.78878,Himachal Pradesh,,19540,32.2322,76.3037
POINT (78.75400000000015 30.45210000000006),123,7/27/2013,7,Jul,Uttarakhand 2013,2013,413.4,07/27/2013 07:00:00 AM +0000,India,Balsori Villages In The Akhrori Area,landslide,Landslide,Rain,0,0,Known_within_5_km,Medium,Sranagar,25.61788,Uttarakhand,,32442,29.5935,79.6805
POINT (78.01930000000011 31.622300000000084),129,6/17/2013,6,Jun,Himachal Pradesh 2013,2013,233.6,06/17/2013 07:00:00 AM +0000,India,"Chagoan Village Near Tapri, 220 Km From The State Capital Shimla, Kinnaur District, Himachal Pradesh",landslide,Landslide,Downpour,5,0,Known_within_50_km,Medium,Sarahan,24.75992,Himachal Pradesh,,20254,11.3484,76.7937
POINT (79.23300000000013 30.273300000000095),138,7/24/2013,7,Jul,Uttarakhand 2013,2013,413.4,07/24/2013 07:00:00 AM +0000,India,"Rishikesh-Badrinath Highway, Uttarakhand",landslide,Landslide,Downpour,0,0,Unknown,Medium,Rudraprayag,24.03472,Uttarakhand,,25338,31.5494,76.9001
POINT (79.24980000000012 30.28350000000009),141,7/26/2013,7,Jul,Uttarakhand 2013,2013,413.4,07/26/2013 07:00:00 AM +0000,India,Rishikesh-Badrinath Highway Near Kaleshwar,landslide,Landslide,Rain,0,0,Known_within_5_km,Medium,Papalkoti,23.45041,Uttarakhand,,39982,25.1796,93.0083
